"Organization","Contact","Contact Type","Recommended Use","Connector / Source"
"Performance Health Supply / Performance Health","info@performancehealth.com | Snov-generated domain email candidate","Snov-generated domain email candidates","Verify role and route to rehab supply category, government sales, DME/orthotics product, or supplier onboarding.","Snov.io v2 domain search"
"Performance Health Supply / Performance Health","customersupport@performancehealth.com | Snov-generated domain email candidate","Snov-generated domain email candidates","Verify role and route to rehab supply category, government sales, DME/orthotics product, or supplier onboarding.","Snov.io v2 domain search"
"Performance Health Supply / Performance Health","blands@performancehealth.com | Snov-generated domain email candidate","Snov-generated domain email candidates","Verify role and route to rehab supply category, government sales, DME/orthotics product, or supplier onboarding.","Snov.io v2 domain search"
"Footmaxx","michael.kinney@footmaxx.com | Snov-generated domain email candidate","Snov-generated domain email candidates","Verify role before outreach; use as orthotics-channel intelligence, not the first Reparel sales target.","Snov.io v2 domain search"
"Footmaxx","charlie.doll@footmaxx.com | Snov-generated domain email candidate","Snov-generated domain email candidates","Verify role before outreach; use as orthotics-channel intelligence, not the first Reparel sales target.","Snov.io v2 domain search"
"Footmaxx","rob.martin@footmaxx.com | Snov-generated domain email candidate","Snov-generated domain email candidates","Verify role before outreach; use as orthotics-channel intelligence, not the first Reparel sales target.","Snov.io v2 domain search"
"First Nations Distribution LLC","Government Contracts Manager | Email/domain research needed","Generated role contact path","Resolve company domain or SAM/UEI profile, then ask how rehab supply products are added to public-sector BPA ordering paths.","USAspending.gov + Opportunity Scanner contact logic"
"First Nations Distribution LLC","Medical Supply Category Manager | Email/domain research needed","Generated role contact path","Resolve company domain or SAM/UEI profile, then ask how rehab supply products are added to public-sector BPA ordering paths.","USAspending.gov + Opportunity Scanner contact logic"
"First Nations Distribution LLC","Clinical Supply Manager | Email/domain research needed","Generated role contact path","Resolve company domain or SAM/UEI profile, then ask how rehab supply products are added to public-sector BPA ordering paths.","USAspending.gov + Opportunity Scanner contact logic"
"First Nations Distribution LLC","SAM.gov entity or BPA ordering contact | Source-native research needed","Generated role contact path","Resolve company domain or SAM/UEI profile, then ask how rehab supply products are added to public-sector BPA ordering paths.","USAspending.gov + Opportunity Scanner contact logic"
"National Environmental Inc.","Government Contracts Manager | Email/domain research needed","Generated role contact path","Validate whether the recipient is a relevant distributor; if not, pivot to the HHS/IHS buying office.","USAspending.gov + Opportunity Scanner contact logic"
"National Environmental Inc.","Physical Therapy Supply Buyer | Email/domain research needed","Generated role contact path","Validate whether the recipient is a relevant distributor; if not, pivot to the HHS/IHS buying office.","USAspending.gov + Opportunity Scanner contact logic"
"National Environmental Inc.","Clinical Supply Manager | Email/domain research needed","Generated role contact path","Validate whether the recipient is a relevant distributor; if not, pivot to the HHS/IHS buying office.","USAspending.gov + Opportunity Scanner contact logic"
"National Environmental Inc.","HHS/IHS buying office contact attached to award | Source-native research needed","Generated role contact path","Validate whether the recipient is a relevant distributor; if not, pivot to the HHS/IHS buying office.","USAspending.gov + Opportunity Scanner contact logic"
"KLM Laboratories / HHS orthotics supply lane","Orthotics product owner | Email/domain research needed","Generated role contact path","Treat as an active/current orthotics market-map target. Resolve contact path before outreach because no verified connector email is available yet.","USAspending.gov + Opportunity Scanner contact logic"
"KLM Laboratories / HHS orthotics supply lane","Government contracts manager | Email/domain research needed","Generated role contact path","Treat as an active/current orthotics market-map target. Resolve contact path before outreach because no verified connector email is available yet.","USAspending.gov + Opportunity Scanner contact logic"
"KLM Laboratories / HHS orthotics supply lane","HHS/IHS ordering office for WRSU orthotics supplies | Source-native research needed","Generated role contact path","Treat as an active/current orthotics market-map target. Resolve contact path before outreach because no verified connector email is available yet.","USAspending.gov + Opportunity Scanner contact logic"
"Department of Veterans Affairs physical therapy/prosthetics route","VA Prosthetics Representative | Facility/office research needed","Generated office contact path","Use VA award evidence to identify current prosthetics, orthotics, and PT supply buying offices.","USAspending.gov + Opportunity Scanner contact logic"
"Department of Veterans Affairs physical therapy/prosthetics route","VA Physical Therapy Supply Buyer | Facility/office research needed","Generated office contact path","Use VA award evidence to identify current prosthetics, orthotics, and PT supply buying offices.","USAspending.gov + Opportunity Scanner contact logic"
"Department of Veterans Affairs physical therapy/prosthetics route","VA Procurement Specialist | Contracting office research needed","Generated office contact path","Use VA award evidence to identify current prosthetics, orthotics, and PT supply buying offices.","USAspending.gov + Opportunity Scanner contact logic"
"Department of Veterans Affairs physical therapy/prosthetics route","Apex Integrated Distribution channel/account contact | Email/domain research needed","Generated office contact path","Use VA award evidence to identify current prosthetics, orthotics, and PT supply buying offices.","USAspending.gov + Opportunity Scanner contact logic"
