"Organization","Contact","Contact Type","Recommended Use","Connector / Source"
"Alaska Council of School Administrators / rural educator recruitment","Executive Director / superintendent association leadership | Email: research needed","Source-backed role path","Resolve ACSA project owner and partner district HR leads before sending. Use recruitment/retention and rural educator pipeline language.","USAspending.gov + Opportunity Scanner contact logic"
"Alaska Council of School Administrators / rural educator recruitment","Educator workforce program lead | Email: research needed","Source-backed role path","Resolve ACSA project owner and partner district HR leads before sending. Use recruitment/retention and rural educator pipeline language.","USAspending.gov + Opportunity Scanner contact logic"
"Alaska Council of School Administrators / rural educator recruitment","District HR or recruitment directors for the seven partner districts | Email: research needed","Source-backed role path","Resolve ACSA project owner and partner district HR leads before sending. Use recruitment/retention and rural educator pipeline language.","USAspending.gov + Opportunity Scanner contact logic"
"NYSUT Education and Learning Trust","Tyrone Hendrix, Executive Director | LinkedIn: https://www.linkedin.com/in/tyronehendrix/ | Email: not found by Clay","Clay named role contacts","Use named roles for manual routing and LinkedIn/email research. Lead with educator apprenticeship, employer incentives, BOCES/district participation, and candidate pipeline support.","Clay + USAspending.gov"
"NYSUT Education and Learning Trust","Peter Applebee, Director of Policy and Program Development | LinkedIn: https://www.linkedin.com/in/peter-applebee-8056873/ | Email: not found by Clay","Clay named role contacts","Use named roles for manual routing and LinkedIn/email research. Lead with educator apprenticeship, employer incentives, BOCES/district participation, and candidate pipeline support.","Clay + USAspending.gov"
"NYSUT Education and Learning Trust","Amy Rudat, Deputy Director, Research and Educational Services | LinkedIn: https://www.linkedin.com/in/amyrudat/ | Email: not found by Clay","Clay named role contacts","Use named roles for manual routing and LinkedIn/email research. Lead with educator apprenticeship, employer incentives, BOCES/district participation, and candidate pipeline support.","Clay + USAspending.gov"
"NYSUT Education and Learning Trust","Carrie Andrews, Director of Constituency Programs and Services | LinkedIn: https://www.linkedin.com/in/carrie-andrews-2bbab360/ | Email: not found by Clay","Clay named role contacts","Use named roles for manual routing and LinkedIn/email research. Lead with educator apprenticeship, employer incentives, BOCES/district participation, and candidate pipeline support.","Clay + USAspending.gov"
"NYSUT Education and Learning Trust","Dana Osta, Program Services | LinkedIn: https://www.linkedin.com/in/dana-osta-572255a0/ | Email: not found by Clay","Clay named role contacts","Use named roles for manual routing and LinkedIn/email research. Lead with educator apprenticeship, employer incentives, BOCES/district participation, and candidate pipeline support.","Clay + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","Jordan LaSalle, Vice President of Education | LinkedIn: https://www.linkedin.com/in/jordan-lasalle-b987665/ | Email: pending/not returned by Clay","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","Darrell Ayers, Vice President, Education and Jazz | LinkedIn: https://www.linkedin.com/in/darrell-ayers-b493952/ | Email: pending/not returned by Clay","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","Ashi Day, Manager, Music & Washington National Opera Education | LinkedIn: https://www.linkedin.com/in/ashiday/ | Email: pending/not returned by Clay","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","Debi Segal, Assistant Manager, Special Education | LinkedIn: https://www.linkedin.com/in/debi-segal-50bab441/ | Email: pending/not returned by Clay","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","info@kennedy-center.org | Snov-generated domain candidate","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","sarah@kennedy-center.org | Snov-generated domain candidate","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"John F. Kennedy Center for the Performing Arts","msholt@kennedy-center.org | Snov-generated domain candidate","Clay named contacts + Snov backup candidates","Use for arts education and teaching-artist staffing routing. Do not frame as live-event booking.","Clay + Snov.io + USAspending.gov"
"Museum of the African Diaspora / Bay Area Title I arts education","Education Director / school partnerships lead | Email: research needed","Source-backed role path","Use as a teaching-artist and standards-aligned arts education staffing lane. Resolve the education program owner before sending.","USAspending.gov + Opportunity Scanner contact logic"
"Museum of the African Diaspora / Bay Area Title I arts education","Teaching artist coordinator | Email: research needed","Source-backed role path","Use as a teaching-artist and standards-aligned arts education staffing lane. Resolve the education program owner before sending.","USAspending.gov + Opportunity Scanner contact logic"
"Museum of the African Diaspora / Bay Area Title I arts education","Teacher professional development manager | Email: research needed","Source-backed role path","Use as a teaching-artist and standards-aligned arts education staffing lane. Resolve the education program owner before sending.","USAspending.gov + Opportunity Scanner contact logic"
"Westat / education research and staffing data vendor lane","Justin Baer, Vice President and Practice Director for Education and Social Policy | LinkedIn: https://www.linkedin.com/in/justin-baer-193270109/ | Email: pending/not returned by Clay","Clay named role contacts","Use for partner/channel research around education data, teacher workforce research, and government education services.","Clay + USAspending.gov"
"Westat / education research and staffing data vendor lane","Amy Lally, Senior Business Development Specialist | LinkedIn: https://www.linkedin.com/in/amyklally/ | Email: pending/not returned by Clay","Clay named role contacts","Use for partner/channel research around education data, teacher workforce research, and government education services.","Clay + USAspending.gov"
"Westat / education research and staffing data vendor lane","Aliya Pilchen, Principal Research Associate, Education Studies | LinkedIn: https://www.linkedin.com/in/aliya-pilchen-736ab152/ | Email: pending/not returned by Clay","Clay named role contacts","Use for partner/channel research around education data, teacher workforce research, and government education services.","Clay + USAspending.gov"
"Westat / education research and staffing data vendor lane","Shaliza Buckredan, Senior Talent Acquisition Specialist | LinkedIn: https://www.linkedin.com/in/shaliza-buckredan-4437aa6/ | Email: pending/not returned by Clay","Clay named role contacts","Use for partner/channel research around education data, teacher workforce research, and government education services.","Clay + USAspending.gov"
"Westat / education research and staffing data vendor lane","Peter Morrison, Business Development Manager | LinkedIn: https://www.linkedin.com/in/peter-morrison-a0a37354/ | Email: pending/not returned by Clay","Clay named role contacts","Use for partner/channel research around education data, teacher workforce research, and government education services.","Clay + USAspending.gov"
"YRCI / government talent acquisition vendor lane","Colin Waitt, Director of Business Development | LinkedIn: https://www.linkedin.com/in/colin-waitt-87aa3817b/ | Email: pending/not returned by Clay","Clay named role contacts","Use as a channel/vendor research target for talent acquisition services. Do not lead with K-12 unless education-specific fit is confirmed.","Clay + USAspending.gov"
"YRCI / government talent acquisition vendor lane","Max Wyche, Director, Human Capital Business Development & Client Engagement | LinkedIn: https://www.linkedin.com/in/max-wyche-1aaa6b69/ | Email: pending/not returned by Clay","Clay named role contacts","Use as a channel/vendor research target for talent acquisition services. Do not lead with K-12 unless education-specific fit is confirmed.","Clay + USAspending.gov"
"YRCI / government talent acquisition vendor lane","George Carelock, Program Manager | LinkedIn: https://www.linkedin.com/in/george-carelock-50692a148/ | Email: pending/not returned by Clay","Clay named role contacts","Use as a channel/vendor research target for talent acquisition services. Do not lead with K-12 unless education-specific fit is confirmed.","Clay + USAspending.gov"
"YRCI / government talent acquisition vendor lane","Sonia K., Senior Human Resources Specialist (Staffing) | LinkedIn: https://www.linkedin.com/in/sonia-mk/ | Email: pending/not returned by Clay","Clay named role contacts","Use as a channel/vendor research target for talent acquisition services. Do not lead with K-12 unless education-specific fit is confirmed.","Clay + USAspending.gov"
"YRCI / government talent acquisition vendor lane","Eric Hoyt, Senior Staffing Specialist | LinkedIn: https://www.linkedin.com/in/ephoyt95/ | Email: pending/not returned by Clay","Clay named role contacts","Use as a channel/vendor research target for talent acquisition services. Do not lead with K-12 unless education-specific fit is confirmed.","Clay + USAspending.gov"
"LADGOV Corp / teaching artist vendor signal","Chris Bradley, Business Development Specialist | cbradley@ladgov.com | LinkedIn: https://www.linkedin.com/in/chris-bradley-5a71aa237/","Clay-identified contact + Snov email candidates","Useful adjacent vendor/channel target for teaching-artist style staffing. Verify whether LADGOV handles education, tutor, or arts-instruction contracts.","Clay + Snov.io + USAspending.gov"
"LADGOV Corp / teaching artist vendor signal","Ouidad Mandour | ouidad.mandour@ladgov.com | Snov backup candidate","Clay-identified contact + Snov email candidates","Useful adjacent vendor/channel target for teaching-artist style staffing. Verify whether LADGOV handles education, tutor, or arts-instruction contracts.","Clay + Snov.io + USAspending.gov"
"Grants.gov source-native education contacts","Holly Clark, Management and Program Analyst | OESE.ComprehensiveCenters@ed.gov | 202-245-6408","Source-native program contacts","Use only for eligibility, program, or routing questions. Do not send sales pitches to Grants.gov program contacts.","Grants.gov connector"
"Grants.gov source-native education contacts","Reshone Moore | reshone.moore@ed.gov | Talent Search source-native contact","Source-native program contacts","Use only for eligibility, program, or routing questions. Do not send sales pitches to Grants.gov program contacts.","Grants.gov connector"
"Grants.gov source-native education contacts","Ben Witthoefft | ben.witthoefft@ed.gov | Talent Search source-native contact | 202-795-7407","Source-native program contacts","Use only for eligibility, program, or routing questions. Do not send sales pitches to Grants.gov program contacts.","Grants.gov connector"
