"Organization","Contact","Contact Type","Recommended Use","Connector / Source"
"National Endowment for the Arts","apply@arts.gov | 202-682-5504 | NEA Staff","Source-native program contact","Use for Grants for Arts Projects eligibility/program questions, not as the sales buyer.","Grants.gov connector"
"U.S. Embassy Ottawa Public Diplomacy Section","Jennifer Acuff / Ottawa Public Affairs | ottawa-pa@state.gov | 703-314-6820","Source-native program contact","Use for U.S. Talent Program eligibility questions and partner routing.","Grants.gov connector"
"Bureau of Educational and Cultural Affairs","Julia Gomez-Nelson | nelsonjg2@state.gov | 202-890-9795","Source-native program contact","Use only if pursuing the Creative Tech Exchange or next-cycle monitoring.","Grants.gov connector"
"ReImagine ATL","info@reimagineatl.com; julie@reimagineatl.com; terp@reimagineatl.com","Snov-generated domain email candidates","Verify role before outreach; start with partnership/workforce-program angle.","Snov.io v2 domain search"
"Jackson Symphony Association","info@jacksonsymphony.org; school.jso@jacksonsymphony.org; joan.cummings@jacksonsymphony.org","Snov-generated domain email candidates","Verify role before outreach; start with guest artist, local musician, or public-concert programming angle.","Snov.io v2 domain search"
"John F. Kennedy Center for the Performing Arts","info@kennedy-center.org; sarah@kennedy-center.org; msholt@kennedy-center.org","Snov-generated domain email candidates","Verify role before outreach; use for partnership/program routing only after identifying the right arts education subprogram.","Snov.io v2 domain search"
"DEGY Booking International","info@degy.com; ari@degy.com; jeff@degy.com; nick@degy.com","Snov-generated domain email candidates","Watchlist/channel target tied to event-entertainment public spending. Verify role before outreach.","Snov.io v2 domain search"
"LADGOV Corp","ouidad.mandour@ladgov.com; cbradley@ladgov.com","Snov-generated domain email candidates","Watchlist/channel target tied to musician-services public spending. Verify role before outreach.","Snov.io v2 domain search"
"City of Seattle arts/culture program","Cultural Affairs Manager; Public Art Program Manager; Events Coordinator; Arts Program Director","Generated role contact path","Resolve funded department owner before outreach; source record shows live music performance funding, not a general vendor inbox.","USAspending.gov + Opportunity Scanner contact logic"
"South Carolina parks/tourism amphitheater project","Parks and Recreation Director; Tourism Program Manager; Special Events Manager; Procurement Specialist","Generated role contact path","Resolve Boyd Pond Park/Aiken County program owner, then ask who owns launch-season live programming.","Opportunity Scanner contact logic"
